n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size,TP,TN,FP,FN,sensitivity,specificity
14,0,14,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,163,0.5,41,,,,,,
14,0,14,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,163,0.5,41,,,,,,
14,0,14,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,163,0.5,41,,,,,,
14,0,14,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,163,0.5,41,,,,,,
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,187,0.5,55,,,,,,
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,187,0.5,55,,,,,,
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,187,0.5,55,,,,,,
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,187,0.5,55,,,,,,
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,190,0.5,63,,,,,,
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,190,0.5,63,,,,,,
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,190,0.5,63,,,,,,
10,0,10,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,190,0.5,63,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,200,0.5,73,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,200,0.5,73,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,200,0.5,73,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,200,0.5,73,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,201,0.5,75,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,201,0.5,75,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,201,0.5,75,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,201,0.5,75,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,218,0.345,76,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,218,0.149,76,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,218,0.835,76,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,218,0.133,76,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,258,0.345,79,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,258,0.149,79,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,258,0.835,79,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,258,0.133,79,,,,,,
2,1,1,0.0,1.0,1.0,0.5,0.6666666666666666,0.0,RandomForest,259,0.345,80,1.0,0.0,1.0,0.0,1.0,0.0
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,259,0.165,80,0.0,1.0,0.0,1.0,0.0,1.0
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,259,0.835,80,0.0,1.0,0.0,1.0,0.0,1.0
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,259,0.133,80,1.0,1.0,0.0,0.0,1.0,1.0
2,1,1,0.0,1.0,1.0,0.5,0.6666666666666666,0.0,RandomForest,260,0.345,82,1.0,0.0,1.0,0.0,1.0,0.0
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,260,0.165,82,1.0,1.0,0.0,0.0,1.0,1.0
