n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,113,0.5,40
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,113,0.5,40
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,113,0.5,40
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,113,0.5,40
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,115,0.5,44
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,115,0.5,44
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,115,0.5,44
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,115,0.5,44
17,0,17,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,130,0.5,45
17,0,17,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,130,0.5,45
17,0,17,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,130,0.5,45
17,0,17,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,130,0.5,45
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,134,0.28,62
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,134,0.1,62
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,134,0.1,62
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,134,0.133,62
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,139,0.28,63
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,139,0.1,63
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,139,0.867,63
9,0,9,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,139,0.133,63
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,141,0.28,72
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,141,0.1,72
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,141,0.9,72
6,0,6,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,141,0.231,72
21,0,21,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,163,0.28,78
21,0,21,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,163,0.9,78
21,0,21,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,163,0.9,78
21,0,21,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,163,0.231,78
5,1,4,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,166,0.28,99
5,1,4,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,166,0.9,99
5,1,4,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,166,0.9,99
5,1,4,0.0,0.0,0.2,0.5,0.0,0.0,CatBoost,166,0.231,99
4,1,3,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,RandomForest,168,0.133,104
4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,168,0.9,104
4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,168,0.9,104
