gcid,author,num_authors,filePath,total_own_changes,pair_events,dep_events,indep_events,dep_ratio,same_file_frac,mean_depth,behavior
75,darren,1,read.c,2,9,2,7,0.222222,0.0,1.0,Mixed
81,darren,2,read.c,3,11,1,10,0.090909,0.0,1.0,Mostly Independent
94,darren,1,vstring.c,3,11,4,7,0.363636,0.272727,0.7273,Mixed
95,darren,1,vstring.c,3,11,4,7,0.363636,0.272727,0.7273,Mixed
87,darren,1,readtags.c,7,307,13,294,0.042345,0.022801,0.9772,Mostly Independent
88,darren,1,readtags.c,7,307,13,294,0.042345,0.022801,0.9772,Mostly Independent
110,darren,1,readtags.c,6,6,1,5,0.166667,0.0,1.0,Mixed
134,darren,1,readtags.c,6,6,6,0,1.0,1.0,0.0,Mostly Dependent
135,darren,1,readtags.c,6,6,6,0,1.0,1.0,0.0,Mostly Dependent
136,darren,1,readtags.c,6,7,5,2,0.714286,1.0,0.0,Mostly Dependent
139,darren,1,readtags.c,6,7,5,2,0.714286,1.0,0.0,Mostly Dependent
149,darren,1,readtags.c,4,7,3,4,0.428571,0.0,1.0,Mixed
151,darren,1,readtags.c,6,6,5,1,0.833333,1.0,0.0,Mostly Dependent
152,darren,1,readtags.c,6,8,8,0,1.0,1.0,0.0,Mostly Dependent
153,darren,1,readtags.c,6,8,8,0,1.0,1.0,0.0,Mostly Dependent
150,darren,1,readtags.c,5,6,5,1,0.833333,1.0,0.0,Mostly Dependent
31,darren,1,asp.c,2,7,2,5,0.285714,0.285714,0.7143,Mixed
32,darren,1,asp.c,2,7,2,5,0.285714,0.285714,0.7143,Mixed
45,darren,1,beta.c,2,4,2,2,0.5,0.5,0.5,Mixed
46,darren,1,beta.c,2,4,2,2,0.5,0.5,0.5,Mixed
105,darren,1,main.c,1,2,0,2,0.0,0.5,0.5,Mostly Independent
145,darren,1,strlist.c,1,5,0,5,0.0,0.4,0.6,Mostly Independent
146,darren,1,strlist.c,3,3,2,1,0.666667,1.0,0.0,Mostly Dependent
155,darren,1,routines.c,4,8,4,4,0.5,0.5,0.5,Mixed
156,darren,1,routines.c,2,7,3,4,0.428571,0.571429,0.4286,Mixed
157,darren,1,routines.c,4,4,3,1,0.75,1.0,0.0,Mostly Dependent
158,darren,1,routines.c,3,4,3,1,0.75,1.0,0.0,Mostly Dependent
159,darren,2,routines.c,7,16,2,14,0.125,0.0,1.0,Mixed
160,darren,1,routines.c,5,5,5,0,1.0,1.0,0.0,Mostly Dependent
161,darren,1,routines.c,5,5,5,0,1.0,1.0,0.0,Mostly Dependent
162,darren,1,routines.c,2,3,2,1,0.666667,1.0,0.0,Mostly Dependent
163,darren,1,routines.c,3,3,2,1,0.666667,1.0,0.0,Mostly Dependent
164,darren,1,routines.c,2,5,4,1,0.8,1.0,0.0,Mostly Dependent
166,darren,1,routines.c,1,2,1,1,0.5,1.0,0.0,Mixed
167,darren,2,routines.c,3,19,0,19,0.0,0.0,1.0,Mostly Independent
170,darren,2,asm.c,3,3,0,3,0.0,0.0,1.0,Mostly Independent
77,darren,1,get.c,3,5,3,2,0.6,0.8,0.2,Mostly Dependent
79,darren,2,get.c,4,5,3,2,0.6,0.8,0.2,Mostly Dependent
