gcid,author,num_authors,filePath,total_own_changes,pair_events,dep_events,indep_events,dep_ratio,same_file_frac,mean_depth,behavior
123,basmith,3,Animate.java,3,52,0,52,0.0,0.153846,0.9615,Mostly Independent
132,basmith,3,Animate.java,3,17,1,16,0.058824,0.470588,0.7647,Mostly Independent
136,yeldar,5,Animate.java,9,88,23,65,0.261364,0.340909,0.9659,Mixed
138,yeldar,5,Animate.java,9,40,13,27,0.325,0.125,1.025,Mixed
139,basmith,1,Animate.java,1,6,1,5,0.166667,1.0,0.0,Mixed
141,basmith,2,Animate.java,2,2,0,2,0.0,0.0,1.0,Mostly Independent
145,yeldar,6,Animate.java,11,11,4,7,0.363636,0.545455,0.4545,Mixed
147,basmith,1,Animate.java,1,5,1,4,0.2,0.8,0.6,Mixed
158,basmith,2,Animate.java,2,15,1,14,0.066667,0.333333,0.8667,Mostly Independent
162,basmith,3,Animate.java,3,11,0,11,0.0,0.272727,1.4545,Mostly Independent
168,yeldar,2,AtomTypesModel.java,6,73,13,60,0.178082,0.09589,0.9452,Mixed
166,basmith,2,AtomType.java,4,9,0,9,0.0,0.0,1.4444,Mostly Independent
169,yeldar,3,AtomTypesModel.java,6,72,15,57,0.208333,0.097222,0.9444,Mixed
103,yeldar,2,Angle.java,6,28,13,15,0.464286,0.0,1.0,Mixed
104,yeldar,2,Dihedral.java,5,27,13,14,0.481481,0.0,1.0,Mixed
105,yeldar,2,Distance.java,6,28,13,15,0.464286,0.0,1.0,Mixed
106,yeldar,2,Angle.java,9,132,52,80,0.393939,0.0,1.0,Mixed
107,yeldar,2,Dihedral.java,8,128,44,84,0.34375,0.0,1.0,Mixed
108,yeldar,2,Angle.java,5,6,0,6,0.0,0.0,1.0,Mostly Independent
109,yeldar,2,Dihedral.java,7,33,10,23,0.30303,0.0,1.2121,Mixed
110,yeldar,2,Angle.java,4,62,3,59,0.048387,0.0,1.0,Mostly Independent
111,yeldar,3,Distance.java,5,62,3,59,0.048387,0.0,1.0,Mostly Independent
112,basmith,1,Animate.java,1,9,0,9,0.0,0.111111,1.0,Mostly Independent
176,yeldar,4,Bond.java,8,44,14,30,0.318182,0.181818,0.8409,Mixed
