gcid,author,num_authors,filePath,total_own_changes,pair_events,dep_events,indep_events,dep_ratio,same_file_frac,mean_depth,behavior
26,akdmia,1,ChangeClefAction.java,5,22,15,7,0.681818,0.0,1.2727,Mostly Dependent
57,akdmia,1,KeyBindingSelector.java,2,669,0,669,0.0,0.0,5.0299,Mostly Independent
866,akdmia,1,MessageDialog.java,3,5,1,4,0.2,0.2,10.2,Mixed
345,akdmia,1,FileActionUtils.java,3,1,0,1,0.0,0.0,3.0,Mostly Independent
175,akdmia,1,TuxGuitar.java,12,13,9,4,0.692308,1.0,0.0,Mostly Dependent
177,akdmia,1,MatrixEditor.java,8,1586,59,1527,0.037201,0.037201,3.8758,Mostly Independent
198,akdmia,1,MatrixEditor.java,11,1996,72,1924,0.036072,0.032565,3.8778,Mostly Independent
212,akdmia,1,MatrixEditor.java,10,1870,70,1800,0.037433,0.03262,3.8845,Mostly Independent
369,akdmia,1,TuxGuitar.java,3,29,1,28,0.034483,0.0,3.931,Mostly Independent
508,akdmia,2,TGLock.java,5,6264,697,5567,0.111271,0.0,9.3795,Mixed
630,akdmia,1,MatrixEditor.java,9,1704,69,1635,0.040493,0.036972,3.8779,Mostly Independent
704,akdmia,1,MatrixEditor.java,8,14,0,14,0.0,0.0,4.8571,Mostly Independent
707,akdmia,1,MatrixEditor.java,10,1870,70,1800,0.037433,0.03262,3.8845,Mostly Independent
1982,akdmia,1,TuxGuitar.java,9,1756,114,1642,0.06492,0.058087,2.5803,Mostly Independent
187,akdmia,1,FretBoard.java,8,1,1,0,1.0,0.0,6.0,Mostly Dependent
189,akdmia,1,Piano.java,7,1376,69,1307,0.050145,0.013808,3.8234,Mostly Independent
305,akdmia,1,ExitAction.java,1,12,0,12,0.0,0.0,3.8333,Mostly Independent
307,akdmia,1,ExportSongAction.java,4,28,12,16,0.428571,0.0,4.4286,Mixed
308,akdmia,1,ImportSongAction.java,3,22,12,10,0.545455,0.0,3.9545,Mostly Dependent
309,akdmia,1,SaveAsFileAction.java,3,875,58,817,0.066286,0.0,4.0754,Mostly Independent
310,akdmia,1,OpenFileAction.java,4,25,12,13,0.48,0.12,3.48,Mixed
311,akdmia,1,NewFileAction.java,5,29,13,16,0.448276,0.0,4.2069,Mixed
312,akdmia,1,TuxGuitar.java,5,1132,71,1061,0.062721,0.075088,2.4947,Mostly Independent
313,akdmia,1,OpenURLAction.java,3,17,11,6,0.647059,0.0,6.4118,Mostly Dependent
