feature,importance
maxWCS,15.30489482289748
activePairs,8.532744125643989
changeProneness,8.293144936426788
meanWCS,7.56944707944748
decoupledPairs,6.090883871216076
lifespan,5.980817181584858
totalUnchanged,5.5894256582026625
stabilityIndex,5.573319626724392
stronglyCoupledPairs,5.282719685421848
nlines,4.076788600318617
totalChanges,3.8669596283754344
minWCS,3.684884512980945
max_solo_after_last_cochange,1.6095404033114766
mean_coupling_trend,1.367477813596463
class_size,1.0504825606561694
min_coupling_trend,0.952895782527155
majorAuthorProp,0.927373821769616
max_own_independent,0.7201337721319774
churn,0.7103712041063583
mean_depth,0.6859989907415623
mean_similarity,0.6846868891220105
mean_ir_decay_h50,0.6846302162677649
pair_count_alive,0.6698300827055979
mean_ir_decay_h75,0.6559527744493338
frac_is_spcp,0.6239070279962363
max_similarity,0.5680825161851124
max_co_change_count,0.5671878233468157
frac_same_file,0.5635803790563997
sum_own_independent,0.5620463173549335
mean_class_size,0.525659181005042
max_wcs_recent,0.5224238143337064
mean_cs_decay_h75,0.5215964751489618
mean_ir_decay_h20,0.44964306944572735
sum_co_change_count,0.4291754349776379
mean_cs_decay_h30,0.39478368781780554
mean_cs_decay_h50,0.3760180769308356
mean_cs_decay_h20,0.34706885464801474
mean_wcs_recent,0.3243725057348969
mean_ir_decay_h10,0.30052917246159283
mean_ir_decay_h30,0.24061881960542333
mean_cs_decay_h10,0.23585888037469055
mean_spcp_decay_h50,0.23254487409137883
mean_spcp_decay_h20,0.2300314841630747
mean_spcp_decay_h10,0.2292875174331379
distinctAuthors,0.22286198694099527
mean_spcp_decay_h75,0.21690857376590708
mean_same_author,0.20579261471805943
mean_spcp_decay_h30,0.18637404323742154
min_last_co_change_age,0.17501819453611803
min_wcs_recent,0.1440019342410259
min_last_solo_change_age,0.0392226998229698
minorAuthorCount,0.0
