feature,importance
totalUnchanged,746
stabilityIndex,722
changeProneness,698
meanWCS,576
maxWCS,535
nlines,519
activePairs,408
lifespan,383
totalChanges,302
max_solo_after_last_cochange,185
mean_coupling_trend,168
decoupledPairs,154
stronglyCoupledPairs,151
churn,138
class_size,90
sum_co_change_count,75
max_own_independent,72
minWCS,72
majorAuthorProp,70
frac_is_spcp,59
min_coupling_trend,47
mean_similarity,47
mean_depth,38
sum_own_independent,37
pair_count_alive,37
max_co_change_count,35
mean_cs_decay_h75,33
mean_spcp_decay_h10,27
frac_same_file,26
mean_cs_decay_h10,24
mean_ir_decay_h20,23
mean_ir_decay_h10,22
max_similarity,22
min_wcs_recent,14
mean_ir_decay_h50,14
mean_ir_decay_h75,13
distinctAuthors,10
max_wcs_recent,10
min_last_co_change_age,10
min_last_solo_change_age,9
mean_cs_decay_h20,7
mean_ir_decay_h30,6
mean_spcp_decay_h20,4
mean_wcs_recent,3
mean_cs_decay_h50,3
mean_spcp_decay_h75,2
mean_same_author,0
mean_cs_decay_h30,0
minorAuthorCount,0
mean_class_size,0
mean_spcp_decay_h30,0
mean_spcp_decay_h50,0
