feature,importance
maxWCS,0.2267589037301078
meanWCS,0.13536005341695762
stronglyCoupledPairs,0.13432183822403518
activePairs,0.09028902905865129
decoupledPairs,0.04645296513749643
changeProneness,0.031909647348197276
stabilityIndex,0.029737218101966337
lifespan,0.02763823629009649
minWCS,0.02672166381983551
mean_class_size,0.025299760552415826
totalUnchanged,0.0243455141563274
class_size,0.024043629899157384
pair_count_alive,0.01412120350959897
nlines,0.014045982789654238
totalChanges,0.012439116674440682
sum_co_change_count,0.010396511640075278
churn,0.009743832367885355
mean_cs_decay_h20,0.008729443058148016
mean_cs_decay_h30,0.008488009564241783
mean_cs_decay_h50,0.0077367926163858704
max_solo_after_last_cochange,0.006648024306221437
max_wcs_recent,0.005701780454324563
mean_wcs_recent,0.005512544198492737
mean_coupling_trend,0.0050905361495712535
min_last_co_change_age,0.005057567876275285
mean_cs_decay_h10,0.004955105938876172
mean_ir_decay_h75,0.004381642115897245
mean_ir_decay_h20,0.00405148790593484
mean_cs_decay_h75,0.003899671725885853
frac_same_file,0.0036566394716599946
sum_own_independent,0.003635029918765135
max_similarity,0.0035661585832180705
mean_ir_decay_h50,0.0034520113250424444
mean_ir_decay_h30,0.0034425555892081657
min_coupling_trend,0.003136785817315708
mean_ir_decay_h10,0.003033120622111741
mean_similarity,0.0029895786543173595
majorAuthorProp,0.0028695634358742806
max_co_change_count,0.002680453237083395
max_own_independent,0.0020882957486553495
mean_depth,0.0017199782033865663
mean_spcp_decay_h50,0.0015028257606240234
mean_spcp_decay_h30,0.0013261493171167315
distinctAuthors,0.0013127024379951681
frac_is_spcp,0.0011089288209578303
mean_spcp_decay_h20,0.0010606152520227564
mean_spcp_decay_h10,0.0008794685582111595
mean_spcp_decay_h75,0.0008512960379564679
min_last_solo_change_age,0.0007741053830565157
min_wcs_recent,0.00052451481016799
mean_same_author,0.0005115103880991604
minorAuthorCount,0.0
