feature,importance
maxWCS,0.320701
class_size,0.051312562
minWCS,0.042715684
stronglyCoupledPairs,0.03539301
mean_similarity,0.032276534
mean_coupling_trend,0.026137616
mean_ir_decay_h75,0.024708759
activePairs,0.024661476
meanWCS,0.024355503
changeProneness,0.022750078
lifespan,0.022352345
decoupledPairs,0.021406442
totalChanges,0.02130085
pair_count_alive,0.020154862
sum_own_independent,0.019372098
stabilityIndex,0.01865455
max_solo_after_last_cochange,0.018348923
totalUnchanged,0.017528998
min_last_co_change_age,0.016924826
min_last_solo_change_age,0.016468287
max_co_change_count,0.015312126
nlines,0.01463288
churn,0.0146274045
majorAuthorProp,0.013164575
sum_co_change_count,0.013134044
max_own_independent,0.01299034
max_wcs_recent,0.0128128175
mean_cs_decay_h20,0.012217642
mean_ir_decay_h50,0.012175102
mean_cs_decay_h50,0.011998323
mean_wcs_recent,0.011664727
mean_cs_decay_h75,0.010927428
distinctAuthors,0.010857114
min_coupling_trend,0.009926743
mean_depth,0.008672261
mean_ir_decay_h10,0.008184602
mean_ir_decay_h20,0.006163354
mean_ir_decay_h30,0.0030140986
mean_spcp_decay_h10,0.0
mean_spcp_decay_h20,0.0
mean_spcp_decay_h30,0.0
mean_spcp_decay_h50,0.0
mean_cs_decay_h30,0.0
max_similarity,0.0
mean_cs_decay_h10,0.0
mean_same_author,0.0
mean_class_size,0.0
frac_is_spcp,0.0
min_wcs_recent,0.0
frac_same_file,0.0
minorAuthorCount,0.0
mean_spcp_decay_h75,0.0
