n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
2,1,1,0.0,0.5,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0.0,RandomForest,137,0.5,30
9,6,3,0.3779644730092272,0.6666666666666666,0.5,1.0,1.0,2,3,0,4,0.3333,1.0,0.5773502691896257,RandomForest,139,0.5,32
14,10,4,0.5477225575051661,0.8,0.7499999999999999,0.8625,0.9429292929292928,6,4,0,4,0.6,1.0,0.7745966692414834,RandomForest,163,0.361,41
8,4,4,1.0,1.0,1.0,1.0,1.0,4,4,0,0,1.0,1.0,1.0,RandomForest,187,0.361,55
10,10,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,190,0.361,63
2,1,1,0.0,0.5,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0.0,RandomForest,200,0.361,73
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,201,0.361,75
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,RandomForest,218,0.361,76
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,258,0.361,79
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,259,0.361,80
1,1,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,260,0.361,82
5,3,2,1.0,1.0,1.0,1.0,1.0,3,2,0,0,1.0,1.0,1.0,RandomForest,267,0.361,83
13,10,3,0.5916079783099616,0.85,0.8235294117647058,0.9666666666666668,0.990909090909091,7,3,0,3,0.7,1.0,0.8366600265340756,RandomForest,273,0.361,88
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,274,0.263,101
12,10,2,1.0,1.0,1.0,1.0,1.0,10,2,0,0,1.0,1.0,1.0,RandomForest,282,0.263,102
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,289,0.263,114
