model,revision,gcid,actual_label,pred_label,pred_proba,correct,threshold
RandomForest,39,87,1,,,,0.5
RandomForest,39,88,1,,,,0.5
RandomForest,39,110,0,,,,0.5
RandomForest,39,134,1,,,,0.5
RandomForest,39,135,1,,,,0.5
RandomForest,39,136,1,,,,0.5
RandomForest,39,139,1,,,,0.5
RandomForest,65,87,1,,,,0.5
RandomForest,65,88,1,,,,0.5
RandomForest,65,110,0,,,,0.5
RandomForest,65,134,1,,,,0.5
RandomForest,65,135,1,,,,0.5
RandomForest,65,136,1,,,,0.5
RandomForest,65,139,1,,,,0.5
RandomForest,65,151,1,,,,0.5
RandomForest,65,152,1,,,,0.5
RandomForest,65,153,1,,,,0.5
RandomForest,96,87,1,,,,0.5
RandomForest,96,88,1,,,,0.5
RandomForest,96,110,0,,,,0.5
RandomForest,96,134,1,,,,0.5
RandomForest,96,135,1,,,,0.5
RandomForest,96,139,0,,,,0.5
RandomForest,96,149,0,,,,0.5
RandomForest,96,150,1,,,,0.5
RandomForest,96,151,1,,,,0.5
RandomForest,96,152,1,,,,0.5
RandomForest,96,153,1,,,,0.5
RandomForest,136,94,1,,,,0.5
RandomForest,136,95,1,,,,0.5
RandomForest,137,164,1,0.0,0.4048,0.0,0.5
RandomForest,137,167,0,0.0,0.362,1.0,0.5
RandomForest,139,155,0,0.0,0.3454,1.0,0.5
RandomForest,139,157,1,0.0,0.3618,0.0,0.5
RandomForest,139,158,1,0.0,0.3618,0.0,0.5
RandomForest,139,159,0,0.0,0.2215,1.0,0.5
RandomForest,139,160,1,0.0,0.3618,0.0,0.5
RandomForest,139,161,1,0.0,0.3618,0.0,0.5
RandomForest,139,163,0,0.0,0.3562,1.0,0.5
RandomForest,139,168,1,1.0,0.805,1.0,0.5
RandomForest,139,169,1,1.0,0.805,1.0,0.5
RandomForest,163,87,1,0.0,0.2974,0.0,0.361
RandomForest,163,88,1,0.0,0.2974,0.0,0.361
RandomForest,163,110,0,0.0,0.1859,1.0,0.361
RandomForest,163,123,0,0.0,0.2104,1.0,0.361
RandomForest,163,136,0,0.0,0.3546,1.0,0.361
RandomForest,163,149,1,0.0,0.2104,0.0,0.361
RandomForest,163,150,1,1.0,0.3795,1.0,0.361
RandomForest,163,151,1,1.0,0.372,1.0,0.361
RandomForest,163,152,1,1.0,0.372,1.0,0.361
RandomForest,163,153,1,1.0,0.372,1.0,0.361
RandomForest,163,155,1,0.0,0.2041,0.0,0.361
RandomForest,163,159,0,0.0,0.1879,1.0,0.361
RandomForest,163,160,1,1.0,0.3707,1.0,0.361
RandomForest,163,161,1,1.0,0.3707,1.0,0.361
RandomForest,187,86,1,1.0,0.8879,1.0,0.361
RandomForest,187,117,1,1.0,0.8879,1.0,0.361
RandomForest,187,118,1,1.0,0.883,1.0,0.361
RandomForest,187,119,1,1.0,0.883,1.0,0.361
RandomForest,187,120,0,0.0,0.2455,1.0,0.361
RandomForest,187,122,0,0.0,0.2597,1.0,0.361
RandomForest,187,123,0,0.0,0.2405,1.0,0.361
RandomForest,187,181,0,0.0,0.2003,1.0,0.361
RandomForest,190,87,1,1.0,0.5828,1.0,0.361
RandomForest,190,88,1,1.0,0.5828,1.0,0.361
RandomForest,190,134,1,1.0,0.6508,1.0,0.361
RandomForest,190,135,1,1.0,0.6508,1.0,0.361
RandomForest,190,136,1,0.0,0.2228,0.0,0.361
