feature,importance
maxWCS,19.813928016205825
meanWCS,8.274899159439965
totalUnchanged,6.860572110689315
stronglyCoupledPairs,6.777295026714666
lifespan,6.569540109909473
changeProneness,6.448149271168848
stabilityIndex,6.169233573585651
nlines,4.719637450336997
activePairs,4.645787479873606
decoupledPairs,4.256913805408288
totalChanges,3.5687540895615575
minWCS,3.3133115120645558
frac_same_file,1.2019642732119544
mean_coupling_trend,0.8987909348476105
mean_depth,0.7400815066577795
majorAuthorProp,0.7042098992453528
churn,0.6708640556829153
mean_class_size,0.6363371015243798
max_wcs_recent,0.6259648422266682
max_solo_after_last_cochange,0.5894861590052153
max_co_change_count,0.5886582539893205
mean_similarity,0.5839873786180213
pair_count_alive,0.5527237412247189
max_own_independent,0.5327690094501837
mean_wcs_recent,0.5242594938289282
mean_ir_decay_h10,0.5222591783934186
mean_ir_decay_h50,0.5049135564227244
mean_cs_decay_h10,0.49653333748893574
class_size,0.49395021328949557
sum_co_change_count,0.49091065553263014
min_coupling_trend,0.47290241138466954
mean_ir_decay_h30,0.46750236848953614
mean_ir_decay_h75,0.4642525854535101
max_similarity,0.4564289942694971
mean_cs_decay_h75,0.41411937815735017
distinctAuthors,0.38025303519217185
mean_cs_decay_h50,0.37760339027196177
mean_cs_decay_h20,0.37105269590733314
mean_ir_decay_h20,0.36599217834846776
mean_spcp_decay_h10,0.35928804399104153
mean_spcp_decay_h30,0.35459895440950134
sum_own_independent,0.34597574944534715
mean_spcp_decay_h20,0.3370427927139391
mean_same_author,0.3362431768717779
min_last_co_change_age,0.33128863997364333
min_wcs_recent,0.3110965437834518
mean_cs_decay_h30,0.2961331302145871
frac_is_spcp,0.2696908978137401
mean_spcp_decay_h50,0.2127408636784341
mean_spcp_decay_h75,0.18176816424144285
min_last_solo_change_age,0.09841140654330538
minorAuthorCount,0.01892940324631299
