feature,importance
totalUnchanged,826
stabilityIndex,705
meanWCS,633
nlines,620
lifespan,600
changeProneness,590
activePairs,551
maxWCS,539
totalChanges,413
minWCS,285
decoupledPairs,188
churn,172
max_solo_after_last_cochange,169
mean_coupling_trend,152
class_size,131
stronglyCoupledPairs,118
mean_depth,101
sum_own_independent,97
mean_similarity,89
pair_count_alive,87
frac_same_file,72
sum_co_change_count,67
majorAuthorProp,66
max_co_change_count,61
min_coupling_trend,55
mean_wcs_recent,51
mean_cs_decay_h10,48
max_own_independent,47
mean_cs_decay_h50,45
distinctAuthors,37
mean_ir_decay_h10,34
mean_cs_decay_h75,34
min_last_co_change_age,29
mean_spcp_decay_h75,26
min_last_solo_change_age,22
mean_cs_decay_h20,21
mean_cs_decay_h30,20
max_wcs_recent,16
mean_ir_decay_h75,16
mean_ir_decay_h30,16
max_similarity,15
mean_ir_decay_h50,15
mean_ir_decay_h20,10
frac_is_spcp,10
min_wcs_recent,9
mean_spcp_decay_h10,8
minorAuthorCount,6
mean_spcp_decay_h20,6
mean_spcp_decay_h30,2
mean_spcp_decay_h50,1
mean_class_size,0
mean_same_author,0
