feature,importance
maxWCS,0.2391185773525146
meanWCS,0.17496893454727958
stronglyCoupledPairs,0.16838348502435596
activePairs,0.06305492496542453
stabilityIndex,0.03774258821074659
minWCS,0.03301596067861026
changeProneness,0.03195038506361857
totalChanges,0.029995739815395897
lifespan,0.026953828925302556
totalUnchanged,0.026670142160280547
nlines,0.016519781294134724
decoupledPairs,0.016136228390557027
mean_ir_decay_h75,0.008006173141269305
mean_ir_decay_h20,0.007758227794690537
mean_ir_decay_h50,0.007676832735492154
mean_ir_decay_h30,0.00716239899897116
mean_cs_decay_h30,0.0066152013276348925
mean_cs_decay_h50,0.005847968203110853
mean_cs_decay_h10,0.005634641083184888
mean_cs_decay_h20,0.005565861437384175
mean_cs_decay_h75,0.005135997014739746
churn,0.005089319450578759
class_size,0.0050417138956885925
mean_depth,0.00443998287211251
mean_ir_decay_h10,0.004397922642563107
mean_class_size,0.004350490926095322
mean_similarity,0.0037440379491991195
frac_same_file,0.003398264952448536
mean_wcs_recent,0.0033280089617280886
mean_coupling_trend,0.003137349138810906
sum_own_independent,0.0031346379050654015
sum_co_change_count,0.003083905220988461
min_last_co_change_age,0.0030026169679654045
max_co_change_count,0.003001052757338481
pair_count_alive,0.0028109606663912524
majorAuthorProp,0.002645672309260086
max_own_independent,0.0025879258893771622
max_solo_after_last_cochange,0.0025720082299044407
max_wcs_recent,0.002559503566052038
max_similarity,0.0025446042292807387
min_coupling_trend,0.002099135534385893
distinctAuthors,0.0015477651559708606
min_last_solo_change_age,0.0015062773927002181
mean_spcp_decay_h30,0.0009322519276444622
mean_spcp_decay_h10,0.0009054120975667354
mean_spcp_decay_h50,0.0008115492532011617
mean_spcp_decay_h20,0.000751228292868053
min_wcs_recent,0.0007416176287122218
mean_spcp_decay_h75,0.0007188390715625312
minorAuthorCount,0.0005984961906493763
frac_is_spcp,0.00035792630080800454
mean_same_author,0.00024564445838362245
