feature,importance
maxWCS,0.3083387
stronglyCoupledPairs,0.054792784
min_last_co_change_age,0.04083468
meanWCS,0.025192825
mean_ir_decay_h10,0.022026464
max_wcs_recent,0.02006977
churn,0.01923005
frac_same_file,0.01903451
mean_depth,0.018340357
totalChanges,0.017882906
totalUnchanged,0.017800834
max_similarity,0.01758391
mean_ir_decay_h75,0.017580422
minWCS,0.01751193
stabilityIndex,0.017139437
sum_co_change_count,0.016980488
lifespan,0.01621045
min_last_solo_change_age,0.01563636
changeProneness,0.015424032
mean_cs_decay_h30,0.0148599995
max_co_change_count,0.014785536
mean_spcp_decay_h75,0.014512851
decoupledPairs,0.013924256
activePairs,0.01367084
mean_ir_decay_h20,0.012964407
mean_cs_decay_h50,0.012802316
nlines,0.012384845
mean_cs_decay_h10,0.012152054
mean_cs_decay_h20,0.011717257
min_coupling_trend,0.011660545
mean_spcp_decay_h10,0.011387049
pair_count_alive,0.011292429
mean_cs_decay_h75,0.0111827385
majorAuthorProp,0.01076978
mean_ir_decay_h30,0.010661901
mean_similarity,0.009736192
sum_own_independent,0.009511725
class_size,0.009085933
mean_coupling_trend,0.008768805
frac_is_spcp,0.008681944
max_solo_after_last_cochange,0.0086541865
mean_wcs_recent,0.008628272
mean_ir_decay_h50,0.008493502
distinctAuthors,0.0077598575
min_wcs_recent,0.007632133
max_own_independent,0.0076036095
mean_spcp_decay_h20,0.0071042506
minorAuthorCount,0.0
mean_class_size,0.0
mean_same_author,0.0
mean_spcp_decay_h30,0.0
mean_spcp_decay_h50,0.0
