n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
6,5,1,0.0,0.5,0.0,1.0,1.0,0,1,0,5,0.0,1.0,0.0,RandomForest,41,0.5,35
6,5,1,0.2,0.6,0.3333333333333333,1.0,1.0,1,1,0,4,0.2,1.0,0.4472135954999579,LightGBM,41,0.5,35
6,5,1,0.0,0.5,0.0,1.0,1.0,0,1,0,5,0.0,1.0,0.0,XGBoost,41,0.5,35
6,5,1,0.2,0.6,0.3333333333333333,1.0,1.0,1,1,0,4,0.2,1.0,0.4472135954999579,CatBoost,41,0.5,35
10,0,10,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,57,0.5,41
10,0,10,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,57,0.5,41
10,0,10,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,57,0.5,41
10,0,10,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,57,0.5,41
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,58,0.312,51
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,58,0.1,51
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,58,0.296,51
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,58,0.378,51
4,2,2,1.0,1.0,1.0,1.0,1.0,2,2,0,0,1.0,1.0,1.0,RandomForest,59,0.312,53
4,2,2,1.0,1.0,1.0,1.0,1.0,2,2,0,0,1.0,1.0,1.0,LightGBM,59,0.1,53
4,2,2,1.0,1.0,1.0,1.0,1.0,2,2,0,0,1.0,1.0,1.0,XGBoost,59,0.296,53
4,2,2,1.0,1.0,1.0,1.0,1.0,2,2,0,0,1.0,1.0,1.0,CatBoost,59,0.378,53
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,71,0.312,57
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,71,0.1,57
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,71,0.296,57
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,71,0.378,57
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,77,0.655,59
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,77,0.182,59
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,77,0.296,59
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,77,0.378,59
