model,revision,gcid,actual_label,pred_label,pred_proba,correct,threshold
RandomForest,30,168,1,,,,0.5
RandomForest,32,166,0,,,,0.5
RandomForest,37,494,0,,,,0.5
RandomForest,37,495,0,,,,0.5
RandomForest,37,500,0,,,,0.5
RandomForest,37,559,1,,,,0.5
RandomForest,37,560,0,,,,0.5
RandomForest,37,561,1,,,,0.5
RandomForest,37,571,0,,,,0.5
RandomForest,37,572,0,,,,0.5
RandomForest,37,579,0,,,,0.5
RandomForest,37,596,1,,,,0.5
RandomForest,37,598,1,,,,0.5
RandomForest,37,602,0,,,,0.5
RandomForest,37,619,0,,,,0.5
RandomForest,38,452,0,,,,0.5
RandomForest,38,460,0,,,,0.5
RandomForest,38,461,0,,,,0.5
RandomForest,38,477,0,,,,0.5
RandomForest,38,494,0,,,,0.5
RandomForest,38,495,0,,,,0.5
RandomForest,38,497,0,,,,0.5
RandomForest,38,498,1,,,,0.5
RandomForest,38,554,1,,,,0.5
RandomForest,38,555,1,,,,0.5
RandomForest,38,556,1,,,,0.5
RandomForest,38,557,1,,,,0.5
RandomForest,38,602,0,,,,0.5
RandomForest,38,619,0,,,,0.5
RandomForest,40,494,0,,,,0.5
RandomForest,40,495,0,,,,0.5
RandomForest,40,496,0,,,,0.5
RandomForest,40,497,0,,,,0.5
RandomForest,40,500,0,,,,0.5
RandomForest,40,501,0,,,,0.5
RandomForest,41,579,0,0.0,0.2124,1.0,0.5
RandomForest,41,593,1,0.0,0.3833,0.0,0.5
RandomForest,41,595,1,0.0,0.3833,0.0,0.5
RandomForest,41,596,1,0.0,0.3483,0.0,0.5
RandomForest,41,597,1,0.0,0.3337,0.0,0.5
RandomForest,41,598,1,0.0,0.3483,0.0,0.5
RandomForest,57,491,0,0.0,0.431,1.0,0.5
RandomForest,57,494,0,0.0,0.3584,1.0,0.5
RandomForest,57,495,0,0.0,0.3578,1.0,0.5
RandomForest,57,496,0,0.0,0.4451,1.0,0.5
RandomForest,57,497,0,0.0,0.3541,1.0,0.5
RandomForest,57,500,0,0.0,0.3625,1.0,0.5
RandomForest,57,501,0,0.0,0.4131,1.0,0.5
RandomForest,57,621,0,0.0,0.4048,1.0,0.5
RandomForest,57,636,0,0.0,0.308,1.0,0.5
RandomForest,57,637,0,0.0,0.3014,1.0,0.5
RandomForest,58,599,0,0.0,0.2821,1.0,0.312
RandomForest,58,600,0,0.0,0.246,1.0,0.312
RandomForest,59,569,1,1.0,0.7158,1.0,0.312
RandomForest,59,570,1,1.0,0.7158,1.0,0.312
RandomForest,59,571,0,0.0,0.1176,1.0,0.312
RandomForest,59,579,0,0.0,0.1605,1.0,0.312
RandomForest,71,194,0,0.0,0.2766,1.0,0.312
