feature,importance
maxWCS,18.606335672768186
stronglyCoupledPairs,16.114289300164778
activePairs,5.247460567768455
meanWCS,5.209255010293335
totalChanges,4.73817569592757
totalUnchanged,4.41381341702356
decoupledPairs,4.157323141271594
lifespan,3.7021260496902957
stabilityIndex,2.716707385604327
nlines,2.6691108317291716
churn,2.012862889233107
changeProneness,2.0018018548744667
max_wcs_recent,1.4205519461517908
mean_class_size,1.2979636880428473
minWCS,1.1713300174089898
distinctAuthors,1.0861880443784366
min_last_co_change_age,1.038734826744325
mean_ir_decay_h20,1.033641108874133
class_size,1.0328194863270728
frac_same_file,1.0311113348133025
max_co_change_count,0.9433883084635825
sum_co_change_count,0.9416944438914113
majorAuthorProp,0.9386378518670709
max_similarity,0.9106436387447145
mean_depth,0.8440289563416637
minorAuthorCount,0.7976499930654287
pair_count_alive,0.7885317105646557
mean_ir_decay_h50,0.7561091786529551
min_coupling_trend,0.7513126716232132
mean_cs_decay_h20,0.7172723680432497
mean_ir_decay_h10,0.6834904706600353
max_solo_after_last_cochange,0.6701680600063668
mean_similarity,0.6364762779768005
mean_cs_decay_h10,0.6207387482315802
sum_own_independent,0.6054359091193668
mean_spcp_decay_h30,0.5965906768894548
mean_cs_decay_h50,0.5705830448944107
mean_cs_decay_h75,0.5612883330720578
mean_wcs_recent,0.5599208538068992
mean_spcp_decay_h20,0.5556934292907818
frac_is_spcp,0.533507288473659
mean_ir_decay_h75,0.5040869631394421
mean_ir_decay_h30,0.489463112662681
mean_cs_decay_h30,0.482120364242934
mean_coupling_trend,0.45753094557494006
mean_same_author,0.4233066558187247
min_last_solo_change_age,0.3813876864901322
mean_spcp_decay_h10,0.3663405038549217
mean_spcp_decay_h75,0.36004498616863584
max_own_independent,0.3498130786312732
mean_spcp_decay_h50,0.30480956558212485
min_wcs_recent,0.19633165506508882
