feature,importance
activePairs,958
totalUnchanged,954
stabilityIndex,944
nlines,860
changeProneness,856
meanWCS,809
lifespan,692
maxWCS,642
totalChanges,515
decoupledPairs,433
stronglyCoupledPairs,393
churn,353
class_size,246
mean_depth,232
majorAuthorProp,203
sum_own_independent,202
max_solo_after_last_cochange,200
distinctAuthors,148
max_co_change_count,141
max_own_independent,137
mean_coupling_trend,136
pair_count_alive,124
minWCS,110
min_coupling_trend,109
sum_co_change_count,105
mean_ir_decay_h10,103
mean_wcs_recent,101
max_wcs_recent,99
mean_cs_decay_h10,93
mean_similarity,93
frac_same_file,84
mean_cs_decay_h50,70
min_last_co_change_age,67
mean_cs_decay_h20,54
mean_ir_decay_h30,48
mean_spcp_decay_h10,42
minorAuthorCount,40
mean_cs_decay_h75,40
frac_is_spcp,36
max_similarity,33
mean_cs_decay_h30,30
mean_ir_decay_h20,27
min_last_solo_change_age,27
mean_ir_decay_h75,27
mean_ir_decay_h50,26
min_wcs_recent,12
mean_spcp_decay_h30,10
mean_spcp_decay_h75,8
mean_spcp_decay_h50,7
mean_spcp_decay_h20,6
mean_class_size,0
mean_same_author,0
