feature,importance
maxWCS,0.2568561633545584
stronglyCoupledPairs,0.19301842067763833
meanWCS,0.16838550190014123
activePairs,0.05632211698194189
decoupledPairs,0.04344445493360301
minWCS,0.024183653685837185
min_last_co_change_age,0.022821568721455823
mean_cs_decay_h10,0.018457825998071227
max_wcs_recent,0.013907425994464916
totalUnchanged,0.01373565205471846
lifespan,0.013670117320953384
mean_cs_decay_h30,0.01313324210974825
mean_wcs_recent,0.012396689174064671
mean_cs_decay_h20,0.010077177621792466
class_size,0.009810422507378075
totalChanges,0.008951556650172634
mean_class_size,0.00886158185209191
stabilityIndex,0.008539961752206865
changeProneness,0.008511839954179633
mean_cs_decay_h50,0.007756516999670843
nlines,0.006826244217621009
sum_co_change_count,0.006421923170775282
max_co_change_count,0.004904847899442224
sum_own_independent,0.004445387872854652
max_similarity,0.004209086462518439
mean_similarity,0.00411311312916016
max_own_independent,0.004085537635758941
churn,0.0040670234502933
mean_cs_decay_h75,0.003966655400696156
majorAuthorProp,0.0035973031319366457
pair_count_alive,0.003278001990326941
max_solo_after_last_cochange,0.0032273633537762618
distinctAuthors,0.0031346081729207785
mean_ir_decay_h50,0.0030848042747253024
mean_depth,0.002943179330801582
mean_ir_decay_h10,0.0029026387002664363
mean_coupling_trend,0.002848571253862719
mean_ir_decay_h20,0.0026161353197097325
mean_ir_decay_h30,0.0020323829244466114
mean_ir_decay_h75,0.0019028003232827576
mean_spcp_decay_h10,0.001704807369547663
mean_spcp_decay_h20,0.0013787616196186262
frac_same_file,0.0013344968689933065
min_wcs_recent,0.0012802526507386222
mean_spcp_decay_h30,0.0012336662541519489
mean_spcp_decay_h50,0.0010864547284190802
min_coupling_trend,0.0010042348066341055
min_last_solo_change_age,0.0008980412518444683
mean_same_author,0.0007971676571567618
minorAuthorCount,0.0007904801504454621
mean_spcp_decay_h75,0.0006176885343395052
frac_is_spcp,0.0004244498482453022
