feature,importance
maxWCS,0.45138562
max_wcs_recent,0.033339918
stronglyCoupledPairs,0.031222312
activePairs,0.021150542
pair_count_alive,0.021007074
totalChanges,0.020808108
mean_ir_decay_h30,0.01674075
mean_spcp_decay_h30,0.013934357
totalUnchanged,0.013877008
lifespan,0.013858717
sum_co_change_count,0.013765044
mean_cs_decay_h10,0.013575382
mean_spcp_decay_h10,0.013466402
mean_wcs_recent,0.012693689
minorAuthorCount,0.012691434
decoupledPairs,0.011951873
min_last_co_change_age,0.011581012
mean_spcp_decay_h50,0.011021782
mean_ir_decay_h10,0.010456857
max_co_change_count,0.010335686
min_wcs_recent,0.009934585
mean_cs_decay_h20,0.009790033
class_size,0.009651095
mean_ir_decay_h20,0.0096229715
minWCS,0.00952223
mean_cs_decay_h30,0.009479828
meanWCS,0.00943225
nlines,0.009219395
max_own_independent,0.009187582
max_similarity,0.009112798
mean_similarity,0.009057974
mean_ir_decay_h50,0.008970773
stabilityIndex,0.008516049
min_last_solo_change_age,0.008317224
mean_ir_decay_h75,0.00828594
changeProneness,0.008265053
sum_own_independent,0.008065911
distinctAuthors,0.00780924
churn,0.007699887
mean_coupling_trend,0.00738098
mean_depth,0.007271677
mean_cs_decay_h75,0.007161156
max_solo_after_last_cochange,0.0070626056
frac_same_file,0.0066880854
mean_spcp_decay_h20,0.0066638715
frac_is_spcp,0.0065007852
majorAuthorProp,0.006153189
min_coupling_trend,0.006101692
mean_spcp_decay_h75,0.006036316
mean_cs_decay_h50,0.004175227
mean_class_size,0.0
mean_same_author,0.0
