n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,sensitivity,specificity,TP,TN,FP,FN,model,revision,threshold,train_size,precision,npv
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,95,0.5,32,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,95,0.5,32,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,95,0.5,32,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,95,0.5,32,,
5,5,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,97,0.5,33,,
5,5,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,97,0.5,33,,
5,5,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,97,0.5,33,,
5,5,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,97,0.5,33,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,99,0.5,38,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,99,0.5,38,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,99,0.5,38,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,99,0.5,38,,
8,6,2,0.4472135954999579,0.8333333333333334,0.9583333333333333,0.75,0.6666666666666666,0.7071067811865476,0.5,1.0,3,2,0,3,RandomForest,103,0.5,39,1.0,0.4
8,6,2,0.0,0.6666666666666667,0.9027777777777777,0.5,0.6,0.5,0.5,0.5,3,1,1,3,LightGBM,103,0.5,39,0.75,0.25
8,6,2,0.0,0.5,0.75,0.5,0.6,0.5,0.5,0.5,3,1,1,3,XGBoost,103,0.5,39,0.75,0.25
8,6,2,0.3333333333333333,0.75,0.9206349206349207,0.6666666666666667,0.8333333333333334,0.6454972243679028,0.8333,0.5,5,1,1,1,CatBoost,103,0.5,39,0.8333,0.5
9,6,3,0.0,0.4444444444444445,0.7486111111111111,0.5,0.0,0.0,0.0,1.0,0,3,0,6,RandomForest,104,0.59,47,0.0,0.3333
9,6,3,0.0,0.5,0.7634920634920634,0.5,0.6666666666666666,0.4714045207910317,0.6667,0.3333,4,1,2,2,LightGBM,104,0.524,47,0.6667,0.3333
9,6,3,0.0,0.6666666666666667,0.7555555555555555,0.5,0.0,0.0,0.0,1.0,0,3,0,6,XGBoost,104,0.508,47,0.0,0.3333
9,6,3,0.31622776601683794,0.7222222222222223,0.8968253968253967,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6667,0.6667,4,2,1,2,CatBoost,104,0.851,47,0.8,0.5
22,22,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,107,0.476,56,,
22,22,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,107,0.573,56,,
22,22,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,107,0.296,56,,
22,22,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,107,0.851,56,,
10,6,4,-0.408248290463863,0.25,0.560515873015873,0.375,0.0,0.0,0.0,0.75,0,3,1,6,RandomForest,108,0.312,78,0.0,0.3333
10,6,4,0.0,0.3333333333333333,0.711111111111111,0.5,0.0,0.0,0.0,1.0,0,4,0,6,LightGBM,108,0.573,78,0.0,0.4
10,6,4,0.0,0.625,0.8083333333333333,0.5,0.5454545454545454,0.5,0.5,0.5,3,2,2,3,XGBoost,108,0.59,78,0.6,0.4
10,6,4,-0.16666666666666666,0.4166666666666667,0.6079365079365079,0.41666666666666663,0.4,0.408248290463863,0.3333,0.5,2,2,2,4,CatBoost,108,0.1,78,0.5,0.3333
7,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,0,0,RandomForest,112,0.312,88,1.0,1.0
7,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3,0,0,LightGBM,112,0.133,88,1.0,1.0
7,4,3,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,3,0,4,XGBoost,112,0.622,88,0.0,0.4286
7,4,3,0.5477225575051661,1.0,1.0,0.75,0.6666666666666666,0.7071067811865476,0.5,1.0,2,3,0,2,CatBoost,112,0.165,88,1.0,0.6
2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,118,0.231,95,,
2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,118,0.133,95,,
2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,118,0.214,95,,
2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,118,0.165,95,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,123,0.231,97,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,123,0.133,97,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,123,0.214,97,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,123,0.165,97,,
3,1,2,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1,0,2,0,RandomForest,127,0.231,98,0.3333,0.0
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,1,0,2,0,LightGBM,127,0.149,98,0.3333,0.0
3,1,2,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1,0,2,0,XGBoost,127,0.214,98,0.3333,0.0
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.5,0.0,1.0,0.0,1,0,2,0,CatBoost,127,0.361,98,0.3333,0.0
4,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,0,0,RandomForest,128,0.231,101,1.0,1.0
4,3,1,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,0.3333,1.0,1,1,0,2,LightGBM,128,0.149,101,1.0,0.3333
4,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,0,0,XGBoost,128,0.214,101,1.0,1.0
4,3,1,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0,1,0,3,CatBoost,128,0.361,101,0.0,0.25
9,6,3,0.7559289460184544,1.0,1.0,0.8333333333333333,0.9230769230769231,0.816496580927726,1.0,0.6667,6,2,1,0,RandomForest,129,0.231,105,0.8571,1.0
9,6,3,0.31622776601683794,0.888888888888889,0.9523809523809524,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6667,0.6667,4,2,1,2,LightGBM,129,0.149,105,0.8,0.5
9,6,3,0.7905694150420948,1.0,1.0,0.9166666666666667,0.9090909090909091,0.9128709291752769,0.8333,1.0,5,3,0,1,XGBoost,129,0.214,105,1.0,0.75
9,6,3,0.7559289460184544,1.0,1.0,0.8333333333333333,0.9230769230769231,0.816496580927726,1.0,0.6667,6,2,1,0,CatBoost,129,0.165,105,0.8571,1.0
4,4,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,130,0.231,114,,
4,4,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,130,0.165,114,,
4,4,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,130,0.214,114,,
4,4,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,130,0.231,114,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,132,0.231,118,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,132,0.165,118,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,132,0.214,118,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,132,0.231,118,,
5,2,3,0.4082482904638631,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5773502691896257,1.0,0.3333,2,1,2,0,RandomForest,133,0.231,119,0.5,1.0
5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,0,0,LightGBM,133,0.165,119,1.0,1.0
5,2,3,0.6666666666666666,1.0,1.0,0.8333333333333333,0.8,0.816496580927726,1.0,0.6667,2,2,1,0,XGBoost,133,0.214,119,0.6667,1.0
5,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,0,0,CatBoost,133,0.231,119,1.0,1.0
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,135,0.231,124,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,135,0.165,124,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,135,0.231,124,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,135,0.231,124,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,139,0.231,125,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,139,0.165,125,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,139,0.231,125,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,139,0.1,125,,
22,14,8,0.6236095644623235,0.875,0.8707946815089672,0.75,0.875,0.7071067811865476,1.0,0.5,14,4,4,0,RandomForest,146,0.231,126,0.7778,1.0
22,14,8,0.7174300539794393,1.0,1.0,0.8125,0.9032258064516129,0.7905694150420949,1.0,0.625,14,5,3,0,LightGBM,146,0.165,126,0.8235,1.0
22,14,8,0.7174300539794393,0.875,0.8707946815089672,0.8125,0.9032258064516129,0.7905694150420949,1.0,0.625,14,5,3,0,XGBoost,146,0.231,126,0.8235,1.0
22,14,8,0.6236095644623235,1.0,1.0,0.75,0.875,0.7071067811865476,1.0,0.5,14,4,4,0,CatBoost,146,0.1,126,0.7778,1.0
5,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,0,0,RandomForest,150,0.41,148,1.0,1.0
5,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,0,0,LightGBM,150,0.247,148,1.0,1.0
5,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,0,0,XGBoost,150,0.394,148,1.0,1.0
5,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,0,0,CatBoost,150,0.557,148,1.0,1.0
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,157,0.41,153,,
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,157,0.247,153,,
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,157,0.296,153,,
4,0,4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,157,0.557,153,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,RandomForest,191,0.41,157,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,LightGBM,191,0.378,157,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,XGBoost,191,0.296,157,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,CatBoost,191,0.557,157,,
3,2,1,-0.5,0.0,0.5833333333333333,0.25,0.5,0.0,0.5,0.0,1,0,1,1,RandomForest,192,0.41,158,0.5,0.0
3,2,1,-1.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,2,LightGBM,192,0.378,158,0.0,0.0
3,2,1,-0.5,0.0,0.5833333333333333,0.25,0.5,0.0,0.5,0.0,1,0,1,1,XGBoost,192,0.296,158,0.5,0.0
3,2,1,-1.0,0.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,2,CatBoost,192,0.557,158,0.0,0.0
19,15,4,0.4844813951249544,0.8666666666666667,0.9637606837606836,0.7166666666666667,0.9032258064516129,0.6831300510639732,0.9333,0.5,14,2,2,1,RandomForest,194,0.361,161,0.875,0.6667
19,15,4,0.3440511766019877,0.7666666666666666,0.9330399230399229,0.7083333333333333,0.7692307692307693,0.7071067811865476,0.6667,0.75,10,3,1,5,LightGBM,194,0.116,161,0.9091,0.375
19,15,4,0.36666666666666664,0.8333333333333334,0.9564892623716152,0.6833333333333333,0.8666666666666667,0.6582805886043833,0.8667,0.5,13,2,2,2,XGBoost,194,0.296,161,0.8667,0.5
19,15,4,0.3440511766019877,0.7833333333333333,0.9441900205058099,0.7083333333333333,0.7692307692307693,0.7071067811865476,0.6667,0.75,10,3,1,5,CatBoost,194,0.28,161,0.9091,0.375
10,5,5,0.0,0.48,0.5311111111111111,0.5,0.4444444444444444,0.4898979485566356,0.4,0.6,2,3,2,3,RandomForest,197,0.394,180,0.5,0.5
10,5,5,0.0,0.52,0.6253968253968254,0.5,0.2857142857142857,0.4,0.2,0.8,1,4,1,4,LightGBM,197,0.378,180,0.5,0.5
10,5,5,0.2,0.54,0.6311111111111112,0.6,0.6,0.6,0.6,0.6,3,3,2,2,XGBoost,197,0.263,180,0.6,0.6
10,5,5,-0.2182178902359924,0.44,0.4859523809523809,0.4,0.25,0.34641016151377546,0.2,0.6,1,3,2,4,CatBoost,197,0.28,180,0.3333,0.4286
7,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,0,0,RandomForest,201,0.296,190,1.0,1.0
7,5,2,0.5477225575051661,1.0,1.0,0.8,0.75,0.7745966692414834,0.6,1.0,3,2,0,2,LightGBM,201,0.737,190,1.0,0.5
