model,revision,gcid,actual_label,pred_label,pred_proba,correct,threshold
RandomForest,50,57,0,,,,0.5
LightGBM,50,57,0,,,,0.5
XGBoost,50,57,0,,,,0.5
CatBoost,50,57,0,,,,0.5
RandomForest,59,175,1,,,,0.5
RandomForest,59,369,1,,,,0.5
RandomForest,59,1982,1,,,,0.5
LightGBM,59,175,1,,,,0.5
LightGBM,59,369,1,,,,0.5
LightGBM,59,1982,1,,,,0.5
XGBoost,59,175,1,,,,0.5
XGBoost,59,369,1,,,,0.5
XGBoost,59,1982,1,,,,0.5
CatBoost,59,175,1,,,,0.5
CatBoost,59,369,1,,,,0.5
CatBoost,59,1982,1,,,,0.5
RandomForest,66,1239,1,,,,0.5
RandomForest,66,1240,1,,,,0.5
LightGBM,66,1239,1,,,,0.5
LightGBM,66,1240,1,,,,0.5
XGBoost,66,1239,1,,,,0.5
XGBoost,66,1240,1,,,,0.5
CatBoost,66,1239,1,,,,0.5
CatBoost,66,1240,1,,,,0.5
RandomForest,67,1129,0,,,,0.5
LightGBM,67,1129,0,,,,0.5
XGBoost,67,1129,0,,,,0.5
CatBoost,67,1129,0,,,,0.5
RandomForest,70,502,0,,,,0.5
LightGBM,70,502,0,,,,0.5
XGBoost,70,502,0,,,,0.5
CatBoost,70,502,0,,,,0.5
RandomForest,75,1632,0,,,,0.5
RandomForest,75,1663,0,,,,0.5
RandomForest,75,1999,0,,,,0.5
LightGBM,75,1632,0,,,,0.5
LightGBM,75,1663,0,,,,0.5
LightGBM,75,1999,0,,,,0.5
XGBoost,75,1632,0,,,,0.5
XGBoost,75,1663,0,,,,0.5
XGBoost,75,1999,0,,,,0.5
CatBoost,75,1632,0,,,,0.5
CatBoost,75,1663,0,,,,0.5
CatBoost,75,1999,0,,,,0.5
RandomForest,82,198,1,,,,0.5
RandomForest,82,871,0,,,,0.5
LightGBM,82,198,1,,,,0.5
LightGBM,82,871,0,,,,0.5
XGBoost,82,198,1,,,,0.5
XGBoost,82,871,0,,,,0.5
CatBoost,82,198,1,,,,0.5
CatBoost,82,871,0,,,,0.5
RandomForest,83,653,0,,,,0.5
LightGBM,83,653,0,,,,0.5
XGBoost,83,653,0,,,,0.5
CatBoost,83,653,0,,,,0.5
RandomForest,84,654,0,,,,0.5
LightGBM,84,654,0,,,,0.5
