revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
4,3,51,3,100,39,96-100,21+,0,1,0
4,4,51,3,100,39,96-100,21+,0,1,0
4,7,51,3,100,39,96-100,21+,0,4,0
4,8,51,3,100,39,96-100,21+,0,4,0
4,26,51,3,71,39,71-80,21+,0,4,0
4,135,256,39,100,13,96-100,11-20,0,4,0
4,136,256,39,100,13,96-100,11-20,0,1,0
4,137,256,39,100,13,96-100,11-20,0,1,0
4,138,256,39,100,13,96-100,11-20,0,4,0
4,158,256,39,70,13,<=70,11-20,0,1,0
4,45,52,40,75,14,71-80,11-20,0,4,0
4,48,52,40,75,14,71-80,11-20,0,1,0
4,52,140,40,75,14,71-80,11-20,0,1,1
4,52,143,40,75,14,71-80,11-20,0,1,0
4,145,257,41,100,20,96-100,11-20,0,1,0
4,146,257,41,100,20,96-100,11-20,0,4,0
4,147,257,41,100,20,96-100,11-20,1,0,0
4,148,257,41,100,20,96-100,11-20,1,4,0
4,160,257,41,83,20,81-90,11-20,1,0,0
4,99,182,42,100,23,96-100,21+,0,4,0
4,100,182,42,100,23,96-100,21+,0,1,0
4,149,182,42,100,23,96-100,21+,0,4,0
4,150,182,42,100,23,96-100,21+,0,1,0
4,151,182,42,100,23,96-100,21+,0,1,0
4,159,182,42,70,23,<=70,21+,0,1,0
4,182,212,42,76,23,71-80,21+,0,1,0
4,103,161,43,100,13,96-100,11-20,0,4,0
4,103,181,43,100,13,96-100,11-20,0,1,0
4,103,253,43,100,13,96-100,11-20,0,1,0
4,105,161,43,100,13,96-100,11-20,0,1,0
4,105,181,43,100,13,96-100,11-20,0,4,0
4,105,253,43,100,13,96-100,11-20,0,4,0
4,153,161,43,70,13,<=70,11-20,0,4,0
4,153,181,43,70,13,<=70,11-20,0,1,0
4,153,253,43,70,13,<=70,11-20,0,1,0
4,155,161,43,70,13,<=70,11-20,0,4,0
4,155,181,43,70,13,<=70,11-20,0,1,0
4,155,253,43,70,13,<=70,11-20,1,0,0
4,161,162,43,70,13,<=70,11-20,0,4,0
4,161,181,43,70,13,<=70,11-20,0,4,1
4,161,253,43,70,13,<=70,11-20,0,4,1
4,162,181,43,70,13,<=70,11-20,0,1,0
4,162,253,43,70,13,<=70,11-20,0,1,0
4,181,253,43,100,13,96-100,11-20,0,1,1
4,37,53,52,100,17,96-100,11-20,0,4,0
4,53,132,52,100,17,96-100,11-20,1,0,0
4,53,251,52,100,17,96-100,11-20,0,4,0
4,94,255,56,75,15,71-80,11-20,0,1,0
4,94,262,56,75,15,71-80,11-20,0,1,0
4,126,255,56,75,15,71-80,11-20,0,4,0
4,126,262,56,75,15,71-80,11-20,0,4,0
4,156,255,56,100,15,96-100,11-20,1,0,0
4,156,262,56,100,15,96-100,11-20,0,1,0
4,240,255,56,100,15,96-100,11-20,0,1,0
