feature,importance
maxWCS,0.2347589084258783
meanWCS,0.13165208152009203
stronglyCoupledPairs,0.12508887585084538
activePairs,0.0934348742345208
decoupledPairs,0.0469942509197005
changeProneness,0.03275058377521067
stabilityIndex,0.030084396747861578
minWCS,0.026508903373964735
lifespan,0.02621834863946674
class_size,0.025778442978625093
totalUnchanged,0.025374286270898848
mean_class_size,0.022994630996171144
pair_count_alive,0.015126137599047464
nlines,0.014227300454341741
totalChanges,0.012738682241614473
churn,0.010349169999147836
mean_cs_decay_h20,0.008245217960829469
sum_co_change_count,0.008099097716868276
mean_cs_decay_h30,0.008052718553632281
mean_cs_decay_h50,0.007956985746994603
max_wcs_recent,0.0066955978903242295
max_solo_after_last_cochange,0.006599916023869093
mean_wcs_recent,0.006102951968656932
min_last_co_change_age,0.005155621149858133
mean_ir_decay_h75,0.00489972928931087
mean_cs_decay_h10,0.0047768428591379
mean_coupling_trend,0.0046081681928039735
mean_cs_decay_h75,0.004399155749769719
mean_ir_decay_h20,0.004159078354637274
sum_own_independent,0.004079854931206401
mean_ir_decay_h50,0.0040486120097384766
max_similarity,0.0040369476931651485
frac_same_file,0.004031849629322794
mean_similarity,0.003954630814872593
mean_ir_decay_h30,0.0030267241225600755
majorAuthorProp,0.002946497674140017
mean_ir_decay_h10,0.0026979224264735485
min_coupling_trend,0.002645156690376095
max_co_change_count,0.002247720742747191
max_own_independent,0.0018281716206925047
mean_depth,0.001681975769059022
mean_spcp_decay_h50,0.0013310444568269974
mean_spcp_decay_h30,0.00132259020404143
distinctAuthors,0.0011594606499645205
mean_spcp_decay_h20,0.0010110326189013245
mean_spcp_decay_h10,0.0009190332810001191
frac_is_spcp,0.0008554861947776533
min_last_solo_change_age,0.0007381631339282578
mean_spcp_decay_h75,0.0007087490054417474
min_wcs_recent,0.0004595541479308598
mean_same_author,0.0004378666987531049
minorAuthorCount,0.0
