revision,n_change_events_so_far,n_verified_so_far,rolling_acc,rolling_mcc,rolling_f1,threshold
137,32,2,1.0,1.0,1.0,0.1
139,41,11,0.8182,0.6236,0.875,0.1
150,41,11,0.8182,0.6236,0.875,0.1
151,41,11,0.8182,0.6236,0.875,0.1
156,41,11,0.8182,0.6236,0.875,0.1
161,41,11,0.8182,0.6236,0.875,0.1
163,55,25,0.88,0.7181,0.9143,0.231
187,63,33,0.9091,0.8018,0.9302,0.231
188,63,33,0.9091,0.8018,0.9302,0.231
190,73,43,0.8837,0.7194,0.918,0.231
197,73,43,0.8837,0.7194,0.918,0.231
200,75,45,0.8889,0.7366,0.9206,0.247
201,76,46,0.8913,0.7493,0.9206,0.247
209,76,46,0.8913,0.7493,0.9206,0.247
212,76,46,0.8913,0.7493,0.9206,0.247
213,76,46,0.8913,0.7493,0.9206,0.247
218,79,49,0.898,0.765,0.9254,0.247
221,79,49,0.898,0.765,0.9254,0.247
226,79,49,0.898,0.765,0.9254,0.247
227,79,49,0.898,0.765,0.9254,0.247
231,79,49,0.898,0.765,0.9254,0.247
247,79,49,0.898,0.765,0.9254,0.247
258,80,50,0.9,0.7748,0.9254,0.247
259,82,52,0.9038,0.791,0.9254,0.247
260,83,53,0.8868,0.7568,0.9118,0.247
262,83,53,0.8868,0.7568,0.9118,0.247
265,83,53,0.8868,0.7568,0.9118,0.247
267,88,58,0.8793,0.7365,0.9067,0.247
273,101,71,0.8592,0.6977,0.8913,0.28
274,102,72,0.8611,0.7051,0.8913,0.28
276,102,72,0.8611,0.7051,0.8913,0.28
282,114,84,0.8571,0.6833,0.8929,0.28
289,115,85,0.8588,0.6905,0.8929,0.28
307,115,85,0.8588,0.6905,0.8929,0.28
329,115,85,0.8588,0.6905,0.8929,0.28
331,118,88,0.8523,0.6709,0.8889,0.28
333,129,99,0.8586,0.6776,0.8955,0.296
338,130,100,0.85,0.6583,0.8889,0.296
341,130,100,0.85,0.6583,0.8889,0.296
345,133,103,0.8544,0.6684,0.8921,0.296
