n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
2,1,1,0.0,0.5,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0.0,RandomForest,137,0.5,30
2,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,LightGBM,137,0.5,30
2,1,1,0.0,0.5,0.6666666666666666,0.5,0.5,1,0,1,0,1.0,0.0,0.0,XGBoost,137,0.5,30
2,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,CatBoost,137,0.5,30
9,6,3,0.3779644730092272,0.6666666666666666,0.5,1.0,1.0,2,3,0,4,0.3333,1.0,0.5773502691896257,RandomForest,139,0.5,32
9,6,3,0.5,0.6666666666666666,0.8571428571428571,1.0,1.0,6,1,2,0,1.0,0.3333,0.5773502691896257,LightGBM,139,0.5,32
9,6,3,0.0,0.5,0.8,0.5,0.6666666666666666,6,0,3,0,1.0,0.0,0.0,XGBoost,139,0.5,32
9,6,3,0.5,0.6666666666666666,0.8571428571428571,0.7777777777777779,0.9047619047619049,6,1,2,0,1.0,0.3333,0.5773502691896257,CatBoost,139,0.5,32
14,10,4,0.31622776601683794,0.675,0.7058823529411765,0.8625,0.9429292929292928,6,3,1,4,0.6,0.75,0.6708203932499369,RandomForest,163,0.345,41
14,10,4,0.7302967433402214,0.9,0.8888888888888888,0.9125000000000001,0.9714285714285714,8,4,0,2,0.8,1.0,0.8944271909999159,LightGBM,163,0.1,41
14,10,4,0.0,0.5,0.8333333333333334,0.5,0.7142857142857143,10,0,4,0,1.0,0.0,0.0,XGBoost,163,0.1,41
14,10,4,0.848528137423857,0.95,0.9473684210526315,0.975,0.990909090909091,9,4,0,1,0.9,1.0,0.9486832980505138,CatBoost,163,0.1,41
8,4,4,1.0,1.0,1.0,1.0,1.0,4,4,0,0,1.0,1.0,1.0,RandomForest,187,0.361,55
8,4,4,1.0,1.0,1.0,1.0,1.0,4,4,0,0,1.0,1.0,1.0,LightGBM,187,0.1,55
8,4,4,0.0,0.5,0.6666666666666666,0.5,0.5,4,0,4,0,1.0,0.0,0.0,XGBoost,187,0.1,55
8,4,4,1.0,1.0,1.0,1.0,1.0,4,4,0,0,1.0,1.0,1.0,CatBoost,187,0.1,55
10,10,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,190,0.361,63
10,10,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,190,0.1,63
10,10,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,190,0.1,63
10,10,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,190,0.1,63
2,1,1,0.0,0.5,0.0,1.0,1.0,0,1,0,1,0.0,1.0,0.0,RandomForest,200,0.361,73
2,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,LightGBM,200,0.1,73
2,1,1,0.0,0.5,0.6666666666666666,0.5,0.5,1,0,1,0,1.0,0.0,0.0,XGBoost,200,0.1,73
2,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,CatBoost,200,0.1,73
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,201,0.361,75
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,201,0.1,75
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,201,0.1,75
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,201,0.1,75
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,RandomForest,218,0.361,76
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,LightGBM,218,0.1,76
3,2,1,0.0,0.5,0.8,0.5,0.6666666666666666,2,0,1,0,1.0,0.0,0.0,XGBoost,218,0.1,76
3,2,1,0.0,0.5,0.0,1.0,1.0,0,1,0,2,0.0,1.0,0.0,CatBoost,218,0.1,76
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,258,0.361,79
