globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1 | Revision_101/asp.c | 72 | 87 | 1 | 158 | findAspTags | static void findAspTags (void) | 40 | 158 |  | 
2 | Revision_101/asp.c | 95 | 110 | 1 | 158 | findAspTags | static void findAspTags (void) | 40 | 158 |  | 
3 | Revision_101/eiffel.c | 710 | 717 | 2 | 415 | readToken | static void readToken (tokenInfo *const token) | 604 | 735 |  | 
4 | Revision_101/fortran.c | 878 | 885 | 2 | 416 | readToken | static void readToken (tokenInfo *const token) | 790 | 902 |  | 
5 | Revision_101/python.c | 97 | 101 | 3 | 175 | findPythonTags | static void findPythonTags (void) | 40 | 105 |  | 
6 | Revision_101/ruby.c | 120 | 124 | 3 | 177 | findRubyTags | static void findRubyTags (void) | 42 | 128 |  | 
11 | Revision_101/routines.c | 266 | 273 | 4 | 528 | strcasecmp | extern int strcasecmp (const char *s1, const char *s2) | 265 | 273 |  | 
8 | Revision_101/readtags.c | 496 | 503 | 4 | 528 | strcasecmp | static int strcasecmp (const char *s1, const char *s2) | 495 | 503 |  | 
12 | Revision_101/routines.c | 278 | 285 | 5 | 550 | strncasecmp | extern int strncasecmp (const char *s1, const char *s2, size_t n) | 277 | 285 |  | 
10 | Revision_101/readtags.c | 508 | 515 | 5 | 528 | strncasecmp | static int strncasecmp (const char *s1, const char *s2, size_t n) | 507 | 515 |  | 
