Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
100 | Revision_100/asp.c | U | 72 | 87 | 12 | 833 | 1 | 1 | 100
100 | Revision_100/asp.c | U | 95 | 110 | 12 | 834 | 1 | 2 | 100
100 | Revision_100/eiffel.c | U | 710 | 717 | 8 | 835 | 2 | 3 | 100
100 | Revision_100/fortran.c | U | 878 | 885 | 8 | 836 | 2 | 4 | 100
100 | Revision_100/python.c | U | 97 | 101 | 5 | 837 | 3 | 5 | 100
100 | Revision_100/ruby.c | U | 120 | 124 | 5 | 838 | 3 | 6 | 100
100 | Revision_100/routines.c | U | 266 | 273 | 8 | 839 | 4 | 11 | 100
100 | Revision_100/readtags.c | U | 496 | 503 | 8 | 840 | 4 | 8 | 100
100 | Revision_100/routines.c | U | 278 | 285 | 8 | 841 | 5 | 12 | 100
100 | Revision_100/readtags.c | U | 508 | 515 | 8 | 842 | 5 | 10 | 100
