cloneType,granularity,globalCloneId,filepath,authors,addedInRev,deletedInRev,lifespan,totalChanges,totalUnchanged,stabilityIndex,changeProneness,independentEvolutionScore,coChangeCount,independentChangeCount,changeRevs,unchangedRevs
Type1,Block,1,asp.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,2,asp.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,3,eiffel.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,4,fortran.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,5,python.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,6,ruby.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,8,readtags.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,10,readtags.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,11,routines.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
Type1,Block,12,routines.c,"UNKNOWN",100,Still Active,2,0,3,1.0000,0.0000,0.0000,0,0,"","100, 101, 102"
